agent_id,agent_number,agent_name,agent_category,business_function,product_context,owner,model_provider,model_name,prompt_version,tools_allowed,data_sources_allowed,autonomy_level,risk_level,has_kill_switch,requires_human_approval,hallucination_threshold,bias_threshold,failure_threshold,status,last_reviewed_at,next_review_date
WSS13-AGENT-001,1,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-002,2,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-003,3,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-004,4,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-005,5,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-006,6,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-007,7,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-008,8,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-009,9,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-010,10,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-011,11,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-012,12,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-013,13,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-014,14,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-015,15,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-016,16,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-017,17,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-018,18,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-019,19,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-020,20,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-021,21,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
WSS13-AGENT-022,22,,,,,,,,,,,LEVEL_0_SUGGESTION_ONLY,,,,,,,PENDING_REGISTRATION,,
